dish,dish-href,more,more-href,description
"Vankaya Gasagasala Kura – Eggplant Poppy Seeds Curry","http://www.sailusfood.com/2010/08/10/vankaya-gasagasala-kura-eggplant-poppy-seeds-curry/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/19/",""
"Chicken Curry (with Coconut Milk)","http://www.sailusfood.com/2011/12/05/chicken-curry-with-coconut-milk/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/15/","Method for making Chicken Curry (with Coconut Milk)
			
																						Marinate the chicken in yogurt, coriander pwd, cumin pwd, turmeric pwd, lemon juice and half of the ground ginger-garlic-green chili paste for 10 mts. 

				
																							Heat oil in a cooking vessel, add the star anise, cinnamon stick and chopped onions and fry for 4 mts. Add the remaining ground ginger-garlic-green chili paste and saute for 4 mts. Add red chili powder and mix.

				
																							Add the marinated chicken and cook on high heat for 4 mts, mixing once in a while. 

				
																							Reduce to medium heat, add salt and poppy seeds paste and mix well. Let the chicken cook in this paste for 8-10 mts, uncovered. Cook till oil separates. Add 1 1/2 cups water and mix. Bring to a boil, reduce flame and cook for 13-14 mts.

				
																							Finally add garam masala pwd, mix well. Add thick coconut milk and cook on medium flame for 3-4 mts. Turn off heat and garnish with fresh coriander leaves.

				
																							Serve hot with white steamed rice, coconut rice, any flavored or rotis."
"Simple & Quick Tomato Rice","http://www.sailusfood.com/2009/10/20/simple-quick-tomato-rice/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/27/","Main Ingredients:
	 tomato  rice"
"Bobattu / Puran Poli – Sweet Lentil-Stuffed Indian Bread","http://www.sailusfood.com/2006/01/14/bobattu-puran-poli-sweet-lentil-stuffed-indian-bread/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/41/","Sankranti/Pongal, is the second day of the festival day when Surya, the Sun God is worshipped and on this day the newly harvested rice is cooked in new earthen pots until the cooked rice overflows from the pot.The overflowing symbolizes fertility and prosperity.A special sweet rice dish is prepared with dal, sugar or jaggery and rice called chakrapongali (rice pudding)â€¦chakra meaning sweet and is cooked to honour and give thanks to God.I had posted this recipe earlier and you can find the recipe to Chakrapongali (also known as Sakkarai Pongal) here.

On this day the newly married daughters and sons-in-law are focus of attention and are gifted new clothes and jewellry by the elders of the family and all the family members are treated to an elaborate Sankranthi Vindu Bhojanam (festive meal)spread out on plantain leaves where all the members of the home sit down on the ground and enjoy the festive lunch spread. This is my all time favorite meals."
"Enchilada Casserole","http://www.sailusfood.com/2007/04/23/enchilada-casserole/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/36/","Read about Tex-Mex favorites at All Recipes"
"High Raw Food ~ Black chickpeas-Fruit Salad","http://www.sailusfood.com/2009/12/07/high-raw-food-black-chickpea-fruit-salad/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/26/","Bring together 1/4 cup of boiled black chickpeas (kala channa), 1 small guava, chopped, 1 medium sized cucumber chopped, 1 1/2 cups chopped muskmelon, peeled orange segments, 4 chopped dates, 1/2 tbsp chopped coriander leaves, 2 tbsps orange juice, 1/2 tsp chaat masala, pepper to taste. Toss well. Add any fruit and nuts of your choice."
"Kajjikayalu – Traditional Andhra Sweet","http://www.sailusfood.com/2006/06/01/kajjikayalu-traditional-andhra-sweet/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/39/","Kajjikayalu can be eaten anytime of the day and makes a great tea time snack or an after lunch/dinner dessert. Kajjikaya is similar to the popular Maharastrian sweet ‘Karanji’ which is prepared using mawa (khoya /thickened milk) instead of semolina."
"Crispy Dondakaya (Kovakkai)","http://www.sailusfood.com/2009/08/18/crispy-dondakaya-kovakkai/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/28/","1 Wash the dondakayalu, nip the tip and tail ends. Slice them into thin circles as shown in the image above.

2 Heat oil for deep frying in a heavy bottomed vessel. As the oil is heating, get the batter ready. In a vessel, add sliced dondakayalu, corn flour, maida, salt, ginger garlic paste and chilli pwd. Combine well such that dondakayalu are well coated.

3 Once the oil is hot, reduce heat to medium high flame, slowly drop the batter coated dondakayalu into the oil and deep fry to a golden shade. Remove onto absorbent paper.

4 Heat a small pan, add a tsp of oil, add the cumin seeds and let them splutter. Add the curry leaves and green chillis and fry for a few seconds till the aroma emanates the kitchen. Pour this seasoning over the crispy dondakayalu and serve hot as a snack or a vepudu with rice and rasam/sambar."
"Vankaya Pachi Pulusu – Roasted brinjal – Raw tamarind Stew","http://www.sailusfood.com/2009/03/04/vankaya-pachi-pulusu-roasted-brinjal-raw-tamarind-stew/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/29/","1 Grease the brinjal with oil and roast over low heat. To ensure even cooking rotate the brinjal. Remove from flame sprinkle water and leave aside to cool for 8-10 mts. Peel the skin and mash the pulp.

2 Place this mashed pulp in a large bowl, add chopped onions, green chillis, tamarind extract, jaggery and salt. Combine well to form a thick paste. Add water to form a flowing consistency. See that the jaggery is completely dissolved.

3 Heat oil a pan, add the mustard seeds and let them splutter. Add the cumin seeds and urad dal and let the dal turn red. Add the red chillis, hing and curry leaves, fry for a few more seconds. Donâ€™t burn them. Immediately add to the brinjal-tamarind mixture and combine well.

5 Adjust the salt and garnish with chopped coriander leaves.

6 Serve with pulagam OR hot steamed rice, mudda pappu and vadiyaalu."
"Beerakaya Paalu Posina Kura – Ridge Gourd Curry","http://www.sailusfood.com/2006/06/25/beerakaya-paalu-posina-kura-ridge-gourd-curry/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/38/","Main Ingredients:
	 ridge gourd
	    	
	

				
		
		
		 Ingredients
		
						  1 tbsp oil

								  Â½ tsp mustard seeds

								  5-6 crushed garlic cloves

								  8-10 curry leaves

								  1 large onion finely chopped

								  2-3 green chillis slit length wise

								  3 ridge gourds peeled and chopped into small pieces

								  1 tsp red chilli pwd

								  Â¼ tsp turmeric

								  Â¼ tsp coriander pwd

								  salt to taste

								  2 cups water

								  1 small cup milk

								  chopped coriander leaves for garnish"
"Summer Coolers ~ Cucumber Mint Smoothie","http://www.sailusfood.com/2010/06/10/summer-coolers-cucumber-mint-smoothie/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/21/",""
"Shikampur Kebabs – Minced mutton-based lentil patty","http://www.sailusfood.com/2006/01/28/shikampur-kebabs-minced-mutton-based-lentil-patty/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/41/","Note:The authentic recipe calls for chunks of meat which is cooked in spices and pounded in a stone mortar.I have used minced meat out of sheer convenience..:)"
"ARF #5 – Cauliflower Tomato Curry","http://www.sailusfood.com/2006/01/31/arf-5-cauliflower-tomato-curry/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/41/","Tomatoes contain lycopene and is twice as powerful as beta-carotene. They also contain the antioxidant glutathione, which helps boost immune function.Infact eating cooked tomatoes is better for our body as the heat allows more desirable antioxidants in tomatoes to be made available to the body. And because lycopene is fat-soluble, eating tomatoes with oil can improve absorption."
"Coconut Chicken Masala","http://www.sailusfood.com/2007/01/22/coconut-chicken-masala/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/37/",""
"Bread Chaat","http://www.sailusfood.com/2010/03/19/bread-chaat/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/24/","Main Ingredients:
	 bread"
"Chocolate Chip and Almond Cookies","http://www.sailusfood.com/2008/02/20/chocolate-chip-and-almond-cookies/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/34/","Main Ingredients:
	 chocolate"
"Indian Food Trail – Traditional Maharashtrian Snacks & Sweets (Guest Post by Meera)","http://www.sailusfood.com/2008/09/25/indian-food-trail-traditional-maharastrian-snacks-sweets-guest-post-by-meera/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/31/","3) Teatime Munchies (“Chahabarobar”) 

Snacks that are served along with afternoon tea are generally batatavada – which along with paav is almost synonymous with Mumbai and is hailed as Mumbai’s answer to the burger, Misal, Dahi Misal, Thalipeeth. Misal has a mixture of sprouts where as Thalipeeth has a complex mixture of multiple grains and legumes. Thalipeeth Bhajni is generally available in the Maharashtrian pantries to make impromptu Thalipeeth. Served with homemade white butter (LoNi) and tea, it is really a gastronomic delight. Most of the vegetables can be dipped in chickpea batter to make delicious bhujis but most common and beloved are â€œKaanda Bhujiâ€ or onion pakodas which are especially loved during the monsoons. Due to their crooked shapes resembling crabs, they go by a quaint name of â€œKhekda (crabs) Bhujiâ€ though it does not have any crabmeat!"
"Celebrating Ugadi – Ayurveda & Wellness","http://www.sailusfood.com/2008/04/07/celebrating-ugadi-ayurveda-wellness/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/33/","One of the joys of food blogging is meeting some wonderful bloggers (living very far away from my country) and building relationships. I feel blessed to know them and learn from them. In early 2006, I met blogger and friend, Claudia Davila, who shared the same passion as me â€“ Ayurveda and Food. Although we’ve never met in person, through our correspondence and as I’m sure you can read below, she is a warm, incredibly talented and fascinating person. Claudia lives in Toronto, Canada with her artist/illustrator husband. She is an artist, freelance illustrator for children’s books and comics, book designer and art director and is passionate about good food, natural health, the environment, and living sustainably in our homes and communities."
"Gutti Dondakaya ~ Stuffed Tendli","http://www.sailusfood.com/2009/09/01/gutti-dondakaya-stuffed-tendli/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/27/",""
"Shikampur Kebabs – Minced mutton-based lentil patty","http://www.sailusfood.com/2006/01/28/shikampur-kebabs-minced-mutton-based-lentil-patty/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/41/","Flatten the pattis and put a tbsp of the filling in the center and reshape into a patti.Refridgerate for 20-25 mts.



Pre-heat a griddle adding 2 tbsps of oil/ghee and shallow fry 3 kebabs at a time.Let them cook on low heat to medium heat.Flip over and brown both sides till golden brown.

Serve with salad,onion rings and lemon wedges."
"Nilava Allam Pachadi – Ginger Pickle","http://www.sailusfood.com/2008/07/15/nilava-allam-pachadi-ginger-pickle/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/32/",""
"Palakayalu – Rice Based Crispy Snack","http://www.sailusfood.com/2006/04/04/palakayalu-rice-based-crispy-savory/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/40/",""
"Kandi Pachadi – Tur Dal Chutney","http://www.sailusfood.com/2009/01/18/kandi-pachadi-tur-dal-chutney/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/30/",""
"Mango Picking & Childhood Memories","http://www.sailusfood.com/2008/04/28/mango-picking-childhood-memories/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/33/",""
"Chicken Masala Balls","http://www.sailusfood.com/2007/01/10/chicken-masala-balls/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/37/","Boneless chicken pieces, onions, fresh coriander leaves, green and dry red chillis, ginger, garlic, cashewnuts and roasted spices are ground to smooth paste and shaped into bite sized balls and deep fried (can be grilled too). The grilled balls are absolutely perfect on their own and offer a healthy alternative but nothing to beat the crisp deep fried version."
"Idiyappam with Egg Curry","http://www.sailusfood.com/2012/11/16/idiyappam-recipe-healthy-breakfast/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/13/",""
"8 Healthy Summer Coolers","http://www.sailusfood.com/2008/05/15/8-healthy-summer-coolers/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/33/",""
"Cabbage Pakodi","http://www.sailusfood.com/2010/08/09/cabbage-pakodi/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/19/","Have you tried cabbage in the form a crispy pakoda? If you haven't and are fond of cabbage then you should try today's recipe. To many, cabbage may not be the prettiest or tastiest of vegetables but it more than makes up in flavor in the garb of a besan coated, golden crisp pakodi."
"Mexican Tacos","http://www.sailusfood.com/2007/04/18/mexican-tacos/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/36/","My son, Nehal relishes his favorite Mexican snack – tacos and I set myself the task of preparing home made taco shells right from scratch using corn tortillas, loaded with a delicious paneer-vegetable-baked beans filling as a tea-time snack and use the left over tortillas to prepare enchilada casserole for dinner. The tacos I prepare at home are Mexican inspired and are no where authentic.:)."
"Spring Onion Pakoda","http://www.sailusfood.com/2010/07/05/spring-onion-pakoda/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/20/","Spring onion Pakoda - A perfect monsoon snack! Its been pouring all day long and my palate has been craving for a deep-fried comforting snack. These pakodas have a soft texture as compared to the crispy 'gatti pakodi'. Make for a wonderful savory tea time snack or appetizer."
"Miriyala Charu – Andhra Pepper Flavored Rasam","http://www.sailusfood.com/2010/12/03/miriyala-charu-andhra-pepper-flavored-rasam/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/18/","Rasam or Charu is an essential part of a traditional Andhra bhojanam (meal). Comforting, earthy, warm with health supporting properties, pepper flavored charu is seasoned with ghee and asafoetida, garnished with fresh coriander. Works as a perfect antidote for a runny nose."
"Marie Biscuit Chocolate Balls","http://www.sailusfood.com/2010/07/06/marie-biscuit-chocolate-balls/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/20/","We would relish these addictive chocolate wonders during our growing years. In recent past these impressive treats have  re-appeared in my kitchen. For Nehal. :) They are incredibly sweet, making them an ideal dessert for kiddy parties. You can add nuts for some crunch or decorate with granulated sugar, sprinkles or coconut flakes."
"Coconut Chicken Masala","http://www.sailusfood.com/2007/01/22/coconut-chicken-masala/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/37/","1 Marinate the chicken in coriander pwd, turmeric pwd, ginger garlic paste, 2 slit green chillis and few mint leaves for 10-15 mts. Soak the cashewnuts in 2-3 tbsps milk for 10-15 mts.

2 Make a paste of onion, green chillis, grated coconut, coriander leaves, mint leaves and cashewnuts. Keep aside.

3 Heat oil in a cooking vessel, add the green chillis and chopped onions and saute till transparent.

 4 Add the marinated chicken and cook on high heat for 4-5 mts, combining the ingredients once in a while.

5 Reduce to medium heat, add the ground paste and salt and combine well. Let the chicken cook in this paste for 8-10 mts, uncovered. Cook till oil separates. There is no need to add water as the chicken cooks in its own water.

6 Finally add the garam masala pwd, combine well and remove the contents to a pressure cooker. Pressure cook the chicken for 3-4 mts or upto one whistle. Turn off heat and garnish with fresh coriander leaves.

7 Serve hot with white steamed rice, biryani or chapatis."
"Palak Kofta – Vegetable Balls Served In Creamy Spinach Sauce","http://www.sailusfood.com/2006/04/13/palak-kofta-vegetable-balls-served-in-creamy-spinach-sauce/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/40/","Heat ghee in a cooking vessel and add the shah jeera and let them pop. Add the onion paste and fry for 4-5 minutes on medium heat ensuring that it doesnt burn. Add the ginger garlic paste and fry for another 2-3 mts. Add red chilli pwd and combine. Add the tomato puree and let it cook over slow fire till the ghee separates. Add the palak paste and the cashewnut paste and combine. Add a cup of water and salt. Cover and cook for 10-12 minutes on low heat. Stir once in a while. Lastly add the garam masala and mix well. Turn off heat."
"Indian Food Trail ~ Khandeshi Cuisine","http://www.sailusfood.com/2012/11/29/indian-food-khandeshi-recipes/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/13/","Regional food is very hard to capture in one small article and I am not claiming that I have covered everything here. My knowledge of Khandeshi food is fairly recent and I am still learning and getting to know. I learn something new in every India trip and try to replicate that in my kitchen here. I hope you enjoyed reading and will enjoy making these traditional recipes as much as I do."
"Carrot Masala Vada","http://www.sailusfood.com/2010/04/09/carrot-masala-vada/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/23/",""
"Tomato Dosa","http://www.sailusfood.com/2007/01/26/tomato-dosa/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/37/",""
"Chole Masala Puri – White Chick Peas Curry with Fried Indian Bread","http://www.sailusfood.com/2005/12/18/chole-masala-with-puri-white-chick-peas-masala-curry-with-fried-indian-bread/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/42/","Pressure cook the white chick peas till soft but not mushy. Make a paste of 3 tbsps of the boiled chick peas. Keep aside the boiled chick peas along with the left over water (used to pressure cook the chickpeas) and the boiled chick peas paste.

Grind onions to a paste.

Heat 2 tbsp oil in a heavy pan. Add the onion paste and 2 slit green chillis and fry well till oil separates.

Now add the ginger garlic paste and fry till oil separates stirring constantly so that it doesn’t burn.

Add turmeric powder, chilli powder, coriander pwd, cumin pwd and salt. Mix well.

Add tomato puree and fry for 5-6 minutes.

Now add boiled chole with the left over water and the boiled chole paste. Combine well.

Add more water if required, cover and cook till you get the desired consistency for gravy.

Add garam masala and chole masala and mix well. Garnish with chopped coriander leaves.

Serve hot with puri, roti or bhatura."
"Uppu Kudumulu & Undrallu","http://www.sailusfood.com/2009/08/24/uppu-kudumulu-undrallu/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/27/","Last year, I blogged Paala Undrallu. This Vinayaka Chavithi we prepared a different type of modak aka undrallu recipe. The filling for this particular undrallu is lightly sweetened with jaggery and grated coconut and makes for a healthy sweet."
"Gulab Jamun – Traditional Indian Milk Based Mithai","http://www.sailusfood.com/2005/11/29/gulab-jamuns-traditional-indian-milk-mithai/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/43/","Ingredients to prepare Gulab Jamun sugar syrup:"
"Gutti Dondakaya  – Stuffed Gherkins (Tondli)","http://www.sailusfood.com/2005/12/10/gutti-dondakaayi-stuffed-gherkinstondli/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/42/","1/4 kg fresh tender dondakayalu (gherkins, tondli, tindora, kunthroo)

4 dry whole red chillis

1/2 cup roasted channa dal (dalia, putanala pappu)

1 tsp cumin seeds

7-8 garlic flakes, peeled

salt

oil for deep frying

10-12 curry leaves"
"Aloo Tamatar Subzi – Curried Potatoes In Tomato Sauce","http://www.sailusfood.com/2006/04/18/aloo-tamatar-subzi-curried-potatoes-in-tomato-sauce/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/39/",""
"Quick Bread Cutlets","http://www.sailusfood.com/2010/06/02/quick-bread-cutlets/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/21/","Combine 4 slices of crushed bread (soak in a tbsp of yogurt for 2 mts), a mashed large potato, a finely chopped onion, chopped coriander leaves, 1/2 tsp kasuri methi, 1 tsp ginger-green chilli paste, 1/4 tsp coriander pwd, pinch of amchur pwd, 1 tbsp roasted peanut pwd, 1/2 tbsp corn flour, 1 tbsp grated cheese and salt to taste. Mix well. Shape into cutlets. Drizzle some oil on a hot tava, place the cutlets on the tava and shallow fry on both sides till golden brown. Serve with tomato ketchup."
"Chilli Cheese Toast","http://www.sailusfood.com/2010/12/11/chilli-cheese-toast/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/18/","In a bowl grate a cheese cube (about 2 tbsps). Add 2 finely chopped green chilies, finely chopped small green or red bell pepper, finely chopped small onion, 2 tbsps chopped coriander leaves, pinch of salt and 1/4 tsp pepper pwd to the grated cheese and mix lightly."
"Thotakura Ava Pulusu ~ Mustard flavored Amaranth leaves stew","http://www.sailusfood.com/2010/10/12/thotakura-ava-pulusu-mustard-flavored-amaranth-leaves-stew/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/19/","Blanching of amaranth leaves Boil 2 cups water in a deep vessel. Add salt, pinch of turmeric pwd and chopped amaranth leaves and cook over medium flame for 5 mts. Strain and use left over water to prepare chapati dough and use the blanched leaves and stalks as called for in the recipe. For the above recipe the leaves were not blanched. If using blanched thotakura, reduce the cooking time before adding water."
"Kommu Senagalu Kura ~ Black Chickpeas Masala Curry","http://www.sailusfood.com/2005/11/22/kommu-senagalu-kura-black-chick-peas-masala-curry/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/43/","Heat 2 tbsp oil in a pan. Add cumin seeds and let them splutter.

Add the whole spices (cloves,cardamoms and cinnamon). Fry for 5 seconds.

Add the onion paste, ginger garlic and green chillis and fry on medium heat till oil separates i.e approx 10-12 minutes.

Add coriander pwd, jeera pwd, chilli pwd and salt and combine well. Fry for a minute.

Add the tomato puree and cook for another 8-10 minutes on medium heat.

Add the boiled chick peas along with the left over water and tamarind paste. Cover and cook for 8-10 mts.

Add garam masala pwd, kasturi methi and chopped coriander leaves. Adjust salt.

Combine well and remove from heat when it reaches the desired curry consistency.

Serve with roti/rice."
"Kaccha Kheema Kofta Curry – Meat Balls Curry","http://www.sailusfood.com/2006/08/18/kaccha-kheema-kofta-curry-meat-balls-curry/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/38/","Today I am sharing with you a new recipe, Kaccha Kheema Kofta, I learnt from one of my friends during a recent visit to Hyderabad. Hyderabadi cuisine is a rich cuisine, a blend of royal Mughlai flavors passed down from the renowned chefs of the royal families or Nizams of Hyderabad."
"Bachali Kura Pappu ~ Malabar Spinach Dal","http://www.sailusfood.com/2011/01/10/bachali-kura-pappu-malabar-spinach-dal/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/18/","All of us at home are in a holiday mood. Our harvest festival, Sankranti is around the corner. House cleaning, shopping clothes for family and domestic help(s) and preparation of sweets/savories is in full swing. Its my favorite time of the year!"
"Munchies from a Kerala home ~ Guest post by Shn of Mishmash","http://www.sailusfood.com/2008/11/18/munchies-from-a-kerala-home-guest-post-by-shn-of-mishmash/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/30/","My heartfelt thanks to Sailaja for inviting as well encouraging me to write this article and introduce you all to a bunch of our culinary gems."
"Egg Kurma","http://www.sailusfood.com/2010/05/14/egg-kurma/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/22/",""
"Papdi (Papri) Chaat","http://www.sailusfood.com/2010/03/11/papdi-papri-chaat-recipe/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/24/","Green (Hari) Chutney Recipe

Sweet (Meeta) Chutney Recipe

Sev Recipe"
"Munchies from a Kerala home ~ Guest post by Shn of Mishmash","http://www.sailusfood.com/2008/11/18/munchies-from-a-kerala-home-guest-post-by-shn-of-mishmash/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/30/","~Sailaja"
"Indian Food Trail ~ Kongu Cuisine","http://www.sailusfood.com/2012/10/02/kongu-cuisine-recipes-indian-food/","Older posts","http://www.sailusfood.com/categories/all_recipes_blogged_to_date/page/13/","Sweets"
