rest,rest-href,next,next-href,rank,price,cuisine,meals,features,goodFor,hours,location,phone,rating,reveiws,moreReviews,moreReviews-href
"Taaza Thindi","https://www.tripadvisor.com/Restaurant_Review-g297628-d7243749-Reviews-Taaza_Thindi-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#35 of 10,125 Restaurants in Bengaluru","null","Brunch, Breakfast, Lunch, Dinner","Takeout","Dining on a budget, Families with children, Kids, Local cuisine","Sunday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Monday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Tuesday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Wednesday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Thursday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Friday
7:00 am - 12:00 pm4:30 pm - 9:30 pm


Saturday
7:00 am - 12:00 pm4:30 pm - 9:30 pm","","Address:
 No. 1004, 26th Main, 4th T Block, Jayanagar | Next to HDFC Bank, Bengaluru 560041, India","+91 76762 08899","8","","",""
"Toit","https://www.tripadvisor.com/Restaurant_Review-g297628-d2057435-Reviews-Toit-Bengaluru_Bangalore_District_Karnataka.html","","","#15 of 10,125 Restaurants in Bengaluru","$5 -
$7","Bar, European, Pub, Brew Pub, Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Validated Parking, Valet Parking, Television, Serves Alcohol, Full Bar","Special occasions, Bar scene, Large groups","Wednesday
12:00 pm - 11:30 pm","Address:
 100 Namma Metro Pillar 62 Feet Road | Indiranagar, Bengaluru 560038, India","+91 90197 13388","","","",""
"Time Traveller","https://www.tripadvisor.com/Restaurant_Review-g297628-d1389538-Reviews-Time_Traveller-Bengaluru_Bangalore_District_Karnataka.html","","","#3 of 10,125 Restaurants in Bengaluru","$5 -
$10","Chinese, Indian, Asian, International, Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night","Delivery, Takeout, Reservations, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Wheelchair Accessible, Free Wifi","Large groups, Kids, Local cuisine, Business meetings, Special occasions, Dining on a budget, Families with children","","Address:
 Sai Vishram, Ground Floor, 144 - C/1, Kirloskar Road, Bommasandra, Electronics City | Near Hebbagodi Govt School, Bengaluru 560099, India","+91 80 4040 0400","","Shankar R









1 review 







“Excellent veg buffet and awesome service ”



Reviewed 3 weeks ago



via mobile




Very good vegetarian restaurant ambiance is very cool and calm. More over there service we liked very much if we ask any dish apart from buffet they serve without any extra cost...keep up the exellent hopitality..
Thank you




Helpful? 


Thank Shankar R 





Report 





SaiVishram_B, General Manager at Time Traveller, responded to this review



Greetings from Time Traveller @ Sai Vishram!!!
Belated Birthday wishes to your Husband.We thank you for visiting Time Traveller @ Sai Vishram . Your feed back is important to us in our endeavor to continuously improve our food quality and service standards. We are happy that you enjoyed our vegetarian spread and services. We sincerely look forward to your many...



More","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d1389538-Reviews-or10-Time_Traveller-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Barbeque Nation, Bangalore, India","https://www.tripadvisor.com/Restaurant_Review-g297628-d3972665-Reviews-Barbeque_Nation_Bangalore_India-Bengaluru_Bangalore_District_Karnataka.html","","","#24 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Late Night","Reservations, Seating, Waitstaff, Parking Available, Serves Alcohol, Validated Parking, Highchairs Available","Families with children, Special occasions, Kids, Business meetings, Large groups","Sunday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Monday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Tuesday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Wednesday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Thursday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Friday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm


Saturday
12:00 pm - 3:00 pm6:30 pm - 10:00 pm","","Address:
 Ground Floor 1 Lido Mall Old Madras Rd, Bengaluru 560008, India","+91 99000 10682","","rakeshsureka



Bengaluru, India





Level  Contributor 


127 reviews 


76 restaurant reviews





345 helpful votes 







“Good food... great starters and desserts!”



Reviewed February 25, 2017



via mobile




The place is famous for its grilled starters for both vegetarian and non vegetarian...
Their spread is awesome... really liked their paneer tikka... mexican style potatoes... sweet corn starters and many more...
I somehow feel their spread of main course in not very great...
Desserts is again very good...
So I don't mind as I only hog on starters and...


More  






Helpful? 


Thank rakeshsureka 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d3972665-Reviews-Barbeque_Nation_Bangalore_India-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Royal Afghan at The Windsor","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066850-Reviews-The_Royal_Afghan_at_The_Windsor-Bengaluru_Bangalore_District_Karnataka.html","","","#13 of 10,125 Restaurants in Bengaluru","$100","Indian, Asian, Afghani, Vegetarian Friendly, Halal, Gluten Free Options","Dinner, Late Night","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Serves Alcohol, Full Bar","Large groups, Special occasions, Local cuisine, Business meetings, Kids, Families with children, Romantic","","Address:
 No 25 Golf Course Road | Near Sankey Road, Bengaluru 560052, India","null","","Lakulesh K









1 review 







“Music was Amazing”



Reviewed March 17, 2017



via mobile




The Musicians especially Mr. Sam Vincent the pianist is a true genius.
Just admire his work and the person who played saxophone was also mind blowing.
Please increase your barbecue items as there are less choices .




Helpful? 


Thank Lakulesh K 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d1066850-Reviews-The_Royal_Afghan_at_The_Windsor-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Truffles Ice & Spice","https://www.tripadvisor.com/Restaurant_Review-g297628-d6022202-Reviews-Truffles_Ice_Spice-Bengaluru_Bangalore_District_Karnataka.html","","","#28 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night","Delivery, Takeout, Seating, Waitstaff","Families with children, Kids, Large groups, Dining on a budget","Sunday
11:30 am - 10:30 pm


Monday
11:30 am - 10:30 pm


Tuesday
11:30 am - 10:30 pm


Wednesday
11:30 am - 10:30 pm


Thursday
11:30 am - 10:30 pm


Friday
11:30 am - 10:30 pm


Saturday
11:30 am - 10:30 pm","","Address:
 28 4th B Cross 5th Block | Koramangala, Bengaluru 560034, India","41466565","","fouadfarooq



Srinagar, India





Level  Contributor 


31 reviews 


12 restaurant reviews





12 helpful votes 







“I love this place”



Reviewed March 13, 2017




This is one of my favourites food place in Bangalore. Located in Koramangala, it has another outlet at St. Marks Road. The place has nice variety of food items, shakes, ice creams. The rates are nominal. Service is good. Its usually crowded during peak times, hence you might have to wait for a place in the restaurant. Music, ambience is...


More  






Helpful? 


Thank fouadfarooq 





Report","",""
"Ottimo","https://www.tripadvisor.com/Restaurant_Review-g297628-d6751069-Reviews-Ottimo-Bengaluru_Bangalore_District_Karnataka.html","","","#11 of 10,125 Restaurants in Bengaluru","null","Dinner","Validated Parking, Valet Parking, Reservations, Seating, Waitstaff, Parking Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only","Large groups, Families with children, Romantic, Business meetings, Special occasions","Sunday
7:00 pm - 11:30 pm


Monday
7:00 pm - 11:30 pm


Tuesday
7:00 pm - 11:30 pm


Wednesday
7:00 pm - 11:30 pm


Thursday
7:00 pm - 11:30 pm


Friday
7:00 pm - 11:30 pm


Saturday
7:00 pm - 11:30 pm","","Address:
 Residency Road, Bengaluru 560025, India","+91 72597 76577","5","","",""
"MTR - Mavalli Tiffin Rooms","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html","","","#18 of 10,125 Restaurants in Bengaluru","$4","Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Kids, Local cuisine, Large groups","Tuesday
6:30 am - 8:30 pm","Address:
 #14 Lakshmi Road, Bengaluru 560027, India","+91 80 2223 0471","","","",""
"Vidyarthi Bhavan","https://www.tripadvisor.com/Restaurant_Review-g297628-d785656-Reviews-Vidyarthi_Bhavan-Bengaluru_Bangalore_District_Karnataka.html","","","#17 of 10,125 Restaurants in Bengaluru","$2","Indian, Asian, Vegetarian Friendly, Vegan Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Local cuisine, Kids","","Address:
 No 32 Vidyarthi Bhavan Ground Floor Gandhi Bazaar Main Road | Near Gandhi Bazaar Circle, Bengaluru 560 004, India","+91 80 2667 7588","","Murli S








Level  Contributor 


17 reviews 


10 restaurant reviews





4 helpful votes 







“Pretty Good”



Reviewed March 22, 2017



via mobile




Went for brunch.f good was tasty. Place was crowded. Seems like they try to rush you to finish your meal with other guests standing over you.annoying to day the least




Helpful? 


Thank Murli S 





Report","Next","https://www.tripadvisor.com/Restaurant_Review-g297628-d785656-Reviews-or10-Vidyarthi_Bhavan-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"The Fatty Bao","https://www.tripadvisor.com/Restaurant_Review-g297628-d6942844-Reviews-The_Fatty_Bao-Bengaluru_Bangalore_District_Karnataka.html","","","#21 of 10,125 Restaurants in Bengaluru","null","Brunch, Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Serves Alcohol, Full Bar, Takeout","Families with children, Special occasions, Large groups","Sunday
7:00 pm - 12:00 am12:00 pm - 3:00 pm


Tuesday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Wednesday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Thursday
12:00 pm - 3:00 pm7:00 pm - 11:00 pm


Friday
12:00 pm - 3:00 pm7:00 pm - 1:00 am


Saturday
12:00 pm - 3:00 pm7:00 pm - 1:00 am","Saturday
12:00 pm - 3:00 pm7:00 pm - 1:00 am","Address:
 3rd Floor Off 80 610 12'th Main Road | Above Monkey Bar, Indiranagar, Bengaluru 560038, India","+91 80 4513 3582","","","",""
"MTR - Mavalli Tiffin Rooms","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html","","","#18 of 10,125 Restaurants in Bengaluru","$4","Indian, Vegetarian Friendly, Vegan Options, Gluten Free Options","Brunch, Breakfast, Lunch, Dinner","Takeout, Seating, Waitstaff","Dining on a budget, Families with children, Kids, Local cuisine, Large groups","","Address:
 #14 Lakshmi Road, Bengaluru 560027, India","+91 80 2223 0471","","5MP95



Bengaluru, India





Level  Contributor 


9 reviews 


4 restaurant reviews





8 helpful votes 







“JP Nagar outlet - Hmmm !”



Reviewed 5 days ago
NEW 


via mobile




Our family has been great fans of MTR since 80's from their only outlet near Urvashi Theatre !
Was happy that we have another outlet in JP Nagar and have visited the place several times fr BF, Lunch & Dinner however the recent experience is being mentioned here !
Ordered the usual Masala Dośe, Gulab jamun, Bisi Bele Bath and...


More  






Helpful? 


Thank 5MP95 





Report","Previous","https://www.tripadvisor.com/Restaurant_Review-g297628-d1067832-Reviews-MTR_Mavalli_Tiffin_Rooms-Bengaluru_Bangalore_District_Karnataka.html#REVIEWS"
"Ssaffron","https://www.tripadvisor.com/Restaurant_Review-g297628-d10252338-Reviews-Ssaffron-Bengaluru_Bangalore_District_Karnataka.html","","","#29 of 10,125 Restaurants in Bengaluru","null","Lunch, Dinner, Brunch","Reservations, Outdoor Seating, Seating, Waitstaff, Wheelchair Accessible, Serves Alcohol, Highchairs Available","Romantic, Kids, Special occasions, Families with children, Large groups, Bar scene, Business meetings","null","","Address:
 Palace Road | Number 56-6B, Shangril La Hotel, Level 18, Bengaluru 560052, India","+91 80 4512 6100","","Ajay_Datta



Bengaluru, India





Level  Contributor 


116 reviews 


26 restaurant reviews





78 helpful votes 







“Good food, great ambience ”



Reviewed 3 weeks ago



via mobile




Spent a couple of hours with friends visiting from abroad. Ordered all the house specialities on recommendations of Umesh and they were delicious.
Great place to enjoy Bangalore nightline (whatever may exist :))








 


  


Helpful? 


Thank Ajay_Datta 





Report 





Shangri-La_Bengaluru, General Manager at Ssaffron, responded to this review



Dear Ajay_Datta,
Thank you dining at our Indian restaurant- Ssaffron and for taking the time to review us on TripAdvisor. I am pleased that you had a wonderful meal experience coupled with delicious food, great service and stellar views of the city’s skyline.
We look forward to having you dine with us again soon.
Sincerely,
Andreas Streiber



More","",""
"The Only Place","https://www.tripadvisor.com/Restaurant_Review-g297628-d806908-Reviews-The_Only_Place-Bengaluru_Bangalore_District_Karnataka.html","Next","https://www.tripadvisor.com/Restaurants-g297628-oa30-Bengaluru_Bangalore_District_Karnataka.html#EATERY_LIST_CONTENTS","#47 of 10,125 Restaurants in Bengaluru","$5 -
$10","Italian, American, Steakhouse, European, Vegetarian Friendly","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Waitstaff, Parking Available, Valet Parking, Wheelchair Accessible","Large groups, Kids, Families with children, Special occasions","","Address:
 No 13 Museum Road, Bengaluru 560001, India","null","162","","",""
